ID,Age,Gender,Preferred cola,Coca-Cola,Diet Coke,Coke Zero,Pepsi,Diet Pepsi,Pepsi Max
1,25–29,Female,Pepsi Max,2,5,2,3,1,4
3,25–29,Female,Diet Coke,5,4,2,3,1,1
4,25–29,Female,Coca-Cola,4,2,2,2,2,2
5,55–64,Female,Diet Coke,3,4,3,3,4,2
6,55–64,Female,Diet Pepsi,3,3,3,3,4,4
7,50–54,Female,Coke Zero,2,5,5,2,2,2
8,35–39,Female,Coca-Cola,4,2,5,3,2,5
10,45–49,Female,Coke Zero,4,4,4,5,5,3
15,65+,Female,Diet Pepsi,2,4,2,5,4,2
